india,china,pakistan
0,0,1
1,0,1
2,0,1
2,1,1
2,1,1
3,1,1
3,1,1
3,1,1
4,1,1
4,2,1
5,2,1
5,2,1
5,2,1
6,2,1
7,2,1
7,2,1
7,3,1
7,3,1
7,4,1
8,4,1
8,4,1
8,4,1
8,4,1
8,4,1
8,4,1
9,4,1
9,4,1
9,4,1
9,4,1
10,4,1
10,4,1
10,5,1
10,5,1
10,6,1
11,6,1
11,7,1
11,7,1
11,7,1
11,7,1
11,7,1
11,7,1
11,7,1
11,8,1
12,8,1
12,8,1
12,8,1
12,8,1
13,8,1
13,8,1
13,8,1
13,9,1
13,9,1
13,9,1
13,9,1
13,9,2
13,9,3
13,9,3
13,9,3
13,10,3
14,10,3
14,10,3
14,10,3
14,11,3
14,11,3
15,11,3
15,11,3
16,11,3
16,11,3
17,11,3
17,11,3
18,11,3
18,11,4
18,11,5
19,11,5
19,11,5
20,11,5
20,11,5
20,11,6
20,12,6
20,12,6
20,12,6
20,12,6
21,12,6
21,13,6
21,13,6
21,14,6
21,14,6
21,14,6
21,15,6
21,15,6
21,15,6
21,15,6
22,15,6
22,15,6
22,15,7
22,15,7
22,15,7
22,15,7
23,15,7
24,15,7
24,15,7
25,15,7
25,15,7
25,15,7
25,15,7
25,15,7
25,15,8
25,15,8
25,15,8
25,15,8
25,16,8
25,16,9
25,16,9
25,16,9
25,16,9
25,16,9
26,16,9
26,16,9
26,16,10
26,16,10
27,16,10
27,16,10
27,17,10
27,17,10
27,17,10
27,18,10
27,18,10
27,18,10
28,18,10
28,18,10
28,18,10
28,18,10
28,18,10
29,18,10
29,18,10
30,18,10
30,19,10
31,19,10
31,19,10
31,19,10
31,19,10
31,20,10
31,20,10
31,20,10
31,20,10
31,20,10
31,20,10
31,20,10
31,20,10
31,20,10
31,20,10
31,20,10
32,20,10
33,20,10
33,20,10
34,20,10
34,20,10
34,20,10
34,20,10
34,20,10
34,20,10
35,20,10
35,20,10
35,20,10
36,20,10
36,20,10
37,20,10
38,20,10
38,20,10
38,20,10
39,20,10
39,20,10
39,20,10
39,20,10
39,20,10
40,20,10
40,21,10
41,21,10
41,21,11
41,21,11
41,21,11
41,21,11
41,21,12
42,21,12
42,21,13
43,21,13
43,22,13
43,22,13
43,22,13
43,22,13
44,22,13
44,22,13
45,22,13
45,22,13
45,22,13
45,22,13
46,22,13
47,22,13
47,22,13
47,22,13
47,22,13
48,22,13
49,22,13
50,22,13
50,22,13
50,22,14
51,22,14
51,22,14
51,22,14
51,22,14
51,22,14
51,22,14
51,22,14
52,22,14
53,22,14
53,22,14
53,22,14
53,22,14
53,22,14
53,23,14
53,24,14
54,24,14
55,24,14
55,24,14
55,24,14
55,25,14
55,25,14
55,25,14
55,26,14
55,26,14
56,26,14
57,26,14
57,26,14
57,26,14
57,26,14
57,26,14
58,26,14
58,26,15
58,26,15
58,26,15
58,27,15
58,27,15
58,27,15
58,28,15
58,29,15
58,29,15
58,29,15
58,29,15
58,29,15
59,29,15
59,29,15
60,29,15
61,29,15
61,29,15
61,29,15
62,29,15
62,29,16
62,29,17
62,29,17
62,29,17
62,29,17
63,29,17
63,29,17
63,29,17
63,30,17
63,30,17
63,31,17
63,31,17
63,31,17
64,31,17
65,31,17
65,31,17
66,31,17
67,31,17
67,31,17
68,31,17
68,31,17
68,31,18
69,31,18
69,31,18
70,31,18
70,31,18
71,31,18
71,32,18
71,32,18
71,33,18
71,33,18
71,33,18
72,33,18
72,33,18
72,33,19
72,33,19
72,33,19
72,33,19
72,34,19
72,34,19
72,34,19
72,34,19
73,34,19
73,35,19
73,35,19
73,35,20
73,35,20
73,35,20
73,35,20
74,35,20
75,35,20
76,35,20
76,35,20
76,35,20
77,35,20
77,35,20
77,35,20
77,35,20
77,35,20
77,35,20
78,35,20
79,35,20
80,35,20
80,35,20
81,35,20
81,35,20
81,36,20
81,37,20
81,37,20
82,37,20
82,37,20
82,38,20
83,38,20
83,39,20
83,40,20
83,40,20
83,41,20
83,41,21
83,41,21
83,41,21
83,41,21
83,41,21
84,41,21
84,41,21
84,41,21
84,41,21
85,41,21
86,41,21
86,42,21
86,42,22
86,42,22
86,42,22
86,42,22
87,42,22
88,42,22
88,42,22
88,42,22
88,43,22
88,43,22
88,43,22
88,43,23
88,43,23
88,43,23
88,44,23
89,44,23
89,44,23
89,44,23
89,44,23
90,44,23
90,44,23
90,44,23
90,44,24
90,44,24
91,44,24
91,44,24
91,44,24
91,45,24
91,45,24
92,45,24
92,45,24
93,45,24
93,45,24
93,45,24
94,45,24
95,45,24
95,45,24
95,45,24
95,45,24
95,45,24
96,45,24
96,45,24
96,45,24
96,46,24
96,46,25
96,46,25
96,46,25
97,46,25
97,46,25
97,46,25
98,46,25
99,46,25
99,46,25
99,46,25
100,46,25
100,46,25
101,46,25
101,46,26
101,46,26
102,46,26
102,46,26
102,46,26
102,46,26
103,46,26
103,46,26
104,46,26
104,46,26
104,46,27
104,46,27
105,46,27
106,46,27
106,46,27
